line,class
"DISRATE: 3,000 SHINC","Ld rate"
"LOADING 1-2 SB PORT KAMSAR, GUINEA, WEST AFRICA","Ld rate"
"NOR ATDNSHINC","Ld rate"
"*NOR ATDNSHINC","Ld rate"
"quantity requested, if greater.”",Quantity
"Laycan: Second half March to be narrowed to a 5-day laycan (tentatively ","Laycan date"
"around 25 March).","Laycan date"
"laycan, acceptance of the notice of readiness and berthing of the vessel ","Laycan date"
"*NOR ATDNSHINC","Ld rate"
"*NOR ATDNSHINC","Ld rate"
"*NOR ATDNSHINC","Ld rate"
"L/CAN  : SPOT","Laycan date"
"LOADING : 1 SB 1 SP NAANTALI","Ld rate"
"DISRATE: 3,000 SHINC","Ld rate"
"LOADING : 1SB 1SP NIKATERRA, UKRAINE â€“ 10.3M FW","Ld rate"
"LOADING : 1 SB 1 SP NAANTALI","Ld rate"
"DISRATE: 3,000 SHINC","Ld rate"
"LOADING : 1SB 1SP COFFCO TERMINAL, NIKOLAYEV","Ld rate"
"LOADING : 1SB 1SP HAMBURG CHOPT 1SB 1SP ROSTOCK","Ld rate"
"LOADING : 1 SB 1 SP NAANTALI","Ld rate"
"DISRATE: 3,000 SHINC","Ld rate"
"LOADING : 1 SB 1 SP NAANTALI","Ld rate"
"DISRATE: 3,000 SHINC","Ld rate"
"Laycan: 15â€“ 19 MARCH 2017","Laycan date"
"laycan, acceptance of the notice of readiness and berthing of the vessel ","Laycan date"
"*NOR ATDNSHINC","Ld rate"
"*NOR ATDNSHINC","Ld rate"
"*NOR ATDNSHINC","Ld rate"
"*NOR ATDNSHINC","Ld rate"
"*NOR ATDNSHINC","Ld rate"
"*NOR ATDNSHINC","Ld rate"
"*NOR ATDNSHINC","Ld rate"
"*NOR ATDNSHINC","Ld rate"
"*NOR ATDNSHINC","Ld rate"
"Laycan: 15â€“ 19 Mar 2017","Laycan date"
"laycan, acceptance of the notice of readiness and berthing of the vessel ","Laycan date"
"DISRATE: 3,000 SHINC","Ld rate"
"DISRATE 3000 SHINC","Ld rate"
"Laycan 17-20 March 2017","Laycan date"
"Load Rate 8'000 SHINC","Ld rate"
"Laycan 17-20 March 2017 (PE MPT â€“ PORT ELIZABETH MULTI PURPOSE TERMINAL) ","Laycan date"
"SLOT 20 MARCH 2017","Laycan date"
"LAYCAN 17-20 MARCH 2017, OWNERS AND CHRTS AGREE THAT LAYCAN MAY BE ","Laycan date"
"10000 shinc load - cqd disch","Ld rate"
"Laycan 17-20 March 2017","Laycan date"
"Load Rate 8'000 SHINC","Ld rate"
"Laycan 17-20 March 2017 (PE MPT â€“ PORT ELIZABETH MULTI PURPOSE TERMINAL) ","Laycan date"
"SLOT 20 MARCH 2017","Laycan date"
"LAYCAN 17-20 MARCH 2017, OWNERS AND CHRTS AGREE THAT LAYCAN MAY BE ","Laycan date"
"APRIL 2-10","Laycan date"
"DISRATE 3000 SHINC","Ld rate"
"DISRATE 3000 SHINC","Ld rate"
"Laycan: 10-20 April to be narrowed to a 5-day laycan latest 20 days ","Laycan date"
"laycan, acceptance of the notice of readiness and berthing of the vessel ","Laycan date"
"march 18-22","Laycan date"
"Laycan 3-5 April 2017","Laycan date"
"Load Rate 10'000 SHINC","Ld rate"
"Discharge Port 1 main port China",Ports
"Laycan 03-05 April 2017 (Slot date 05 April 2017)","Laycan date"
"LAYCAN 03-05 APRIL 2017, OWNERS AND CHRTS AGREE THAT LAYCAN MAY BE ","Laycan date"
"*NOR ATDNSHINC","Ld rate"
"*NOR ATDNSHINC","Ld rate"
"*NOR ATDNSHINC","Ld rate"
"Laycan 3-5 April 2017","Laycan date"
"Load Rate 10'000 SHINC","Ld rate"
"Discharge Port 1 main port China",Ports
"Laycan 03-05 April 2017 (Slot date 05 April 2017)","Laycan date"
"LAYCAN 03-05 APRIL 2017, OWNERS AND CHRTS AGREE THAT LAYCAN MAY BE ","Laycan date"
"Laycan 13-16 April 2017  15.000 shinc / CQD","Laycan date"
"Laycan 13-16 April 2017 (PE BOT ALLOCATED BERTHING SLOT DATE â€“ 16 APRIL ","Laycan date"
"Laycan 13-16 APRIL 2017 (PE BOT ALLOCATED BERTHING SLOT DATE â€“ 16 ","Laycan date"
"Laycan 13-16 April 2017","Laycan date"
"15.000 shinc / CQD","Ld rate"
"Laycan 13-16 April 2017 (PE BOT ALLOCATED BERTHING SLOT DATE â€“ 16 APRIL ","Laycan date"
"Laycan 13-16 APRIL 2017 (PE BOT ALLOCATED BERTHING SLOT DATE â€“ 16 ","Laycan date"
"L/C 25 / 30 MARCH","Laycan date"
"8,500 SAT SHEX / 6,000 SHINC","Ld rate"
"L/C 25 / 30 MARCH","Laycan date"
"April 01-10","Laycan date"
"9,000 shex / 8,000 shinc","Ld rate"
"5,000 SHINC / 5,000 SHEX=0A=","Ld rate"
"L/C 27/ 31 MARCH","Laycan date"
"L/C 25 / 30 MARCH","Laycan date"
"DISRATE: 3,000 SHINC","Ld rate"
"L/C 27/ 31 MARCH","Laycan date"
"L/C 15 / 24 APRIL","Laycan date"
"L/C 27/ 31 MARCH","Laycan date"
"L/C 05 / 10 APRIL","Laycan date"
"DISRATE: 3,000 SHINC","Ld rate"
"29MAR/7APR ","Laycan date"
"1/5 APRIL","Laycan date"
"LAYCAN 29TH MARCH - 02 APRIL","Laycan date"
"Loading Port:      Salaverry, Peru.",Ports
"Discharging Port: Praia Mole, Vitória, Brazil.",Ports
"Discharging rate: 10,000 MT PWWD SHINC.","Ld rate"
"Discharge Port: Alexandria port , Egypt.",Ports
"Laycan: 21-27 April, 2017","Laycan date"
"7,000 / 7,000 SHINC BENDS","Ld rate"
"27-30 MARCH","Laycan date"
"LOADING:  RBCT","Ld rate"
"April 21/30, 2017","Laycan date"
"18,000 SHINC / 6,000 SHINC","Ld rate"
"Discharge Rate","Ld rate"
13-19/APRIL/2017,"Laycan date"
13-19/APRIL/2017,"Laycan date"
13-19/APRIL/2017,"Laycan date"
13-19/APRIL/2017,"Laycan date"
10-19/APRIL/2017,"Laycan date"
19-25/APRIL/2017,"Laycan date"
21-25/APRIL/2017,"Laycan date"
21-25/APRIL/2017,"Laycan date"
26-30/APRIL/2017,"Laycan date"
26-30/APRIL/2017,"Laycan date"
26-30/APRIL/2017,"Laycan date"
26-30/APRIL/2017,"Laycan date"
21-25/APRIL/2017,"Laycan date"
"Discharge Rate","Ld rate"
13-19/APRIL/2017,"Laycan date"
13-19/APRIL/2017,"Laycan date"
13-19/APRIL/2017,"Laycan date"
13-19/APRIL/2017,"Laycan date"
10-19/APRIL/2017,"Laycan date"
19-25/APRIL/2017,"Laycan date"
21-25/APRIL/2017,"Laycan date"
21-25/APRIL/2017,"Laycan date"
26-30/APRIL/2017,"Laycan date"
26-30/APRIL/2017,"Laycan date"
26-30/APRIL/2017,"Laycan date"
26-30/APRIL/2017,"Laycan date"
21-25/APRIL/2017,"Laycan date"
"LAYCAN 29TH MARCH - 02 APRIL","Laycan date"
"L/C 15 / 24 APRIL","Laycan date"
"Laycan: 11-15 April","Laycan date"
"laycan, acceptance of the notice of readiness and berthing of the vessel ","Laycan date"
"LAYCAN: 4/6 APR 2017","Laycan date"
20/jun,"Laycan date"
15/jun,"Laycan date"
"29MAR/7APR ","Laycan date"
"1/5 APRIL","Laycan date"
29MAR/2APR,"Laycan date"
"15,000 SHINC / 15,000 SHINC","Ld rate"
29MAR/2APR,"Laycan date"
"15,000 SHINC / 15,000 SHINC","Ld rate"
"Loading Port:                   Port Arthur, Tx",Ports
"Discharge port: Mongla/Chittagong.(Bangladesh)=0A=",Ports
"Load Rate: 11000mt per day=0A=","Ld rate"
"Discharge Rate: 3000mt per day=0A=","Ld rate"
"Quantity: 30000mt (ready in the port)=0A=",Quantity
"LayCan : SPOT / PPT=0A=","Laycan date"
"Comm 1.25% pu=0A=",Commision
"April 25 / May 4th","Laycan date"
"18,000 SHINC / 18,000 SHINC","Ld rate"
"3-7/APR, 2017","Laycan date"
"1-10 / APR, 2017","Laycan date"
"L/C 15 / 24 APRIL","Laycan date"
"Laycan 17-19 April 2017 <x-apple-data-detectors://2>","Laycan date"
"Load Rate 10 000 SHINC","Ld rate"
"Discharge Port Xingang, China",Ports
"Laycan 17-19 April 2017 <x-apple-data-detectors://3> (Slot date 19 April ","Laycan date"
"LAYCAN 17-19 APRIL 2017 <x-apple-data-detectors://5>, OWNERS AND CHRTS ","Laycan date"
"april 20-25","Laycan date"
29MAR/2APR,"Laycan date"
"15,000 SHINC / 15,000 SHINC","Ld rate"
"7/16 APR","Laycan date"
"15/24 APR","Laycan date"
"LOADING 1-2 SB IMBITUBA","Ld rate"
"NOR ATDNSHINC","Ld rate"
"NOR ATDNSHINC","Ld rate"
Laycan:,"Laycan date"
"24-30 April 2017","Laycan date"
" 02/05 APRIL FYG)","Laycan date"
"Laycan: 20 April â€“ 1 May 2017 to be narrowed to a 5-day laycan.","Laycan date"
"laycan, acceptance of the notice of readiness and berthing of the vessel ","Laycan date"
"Laycan 17-19 April 2017 <x-apple-data-detectors://2>","Laycan date"
"Load Rate 10 000 SHINC","Ld rate"
"Discharge Port Xingang, China",Ports
"Laycan 17-19 April 2017 <x-apple-data-detectors://3> (Slot date 19 April ","Laycan date"
"LAYCAN 17-19 APRIL 2017 <x-apple-data-detectors://5>, OWNERS AND CHRTS ","Laycan date"
"5-10 / APR, 2017","Laycan date"
"10-15 / APR, 2017","Laycan date"
"Laycan: 15/24 apr","Laycan date"
"MID APR ONWARDS","Laycan date"
5/10apr,"Laycan date"
10/15apr,"Laycan date"
1/10apr,"Laycan date"
5/10apr,"Laycan date"
10/15apr,"Laycan date"
"7/16 APR","Laycan date"
"15/24 APR","Laycan date"
"15/30 APR","Laycan date"
"20/26 APR","Laycan date"
"25,000 SHINC / 26,000 SHINC ","Ld rate"
"5500 satpmshex / 5000 shinc","Ld rate"
"Discharge Rate","Ld rate"
21-26/APRIL/2017,"Laycan date"
21-26/APRIL/2017,"Laycan date"
21-26/APRIL/2017,"Laycan date"
21-26/APRIL/2017,"Laycan date"
21-26/APRIL/2017,"Laycan date"
21-26/APRIL/2017,"Laycan date"
21-26/APRIL/2017,"Laycan date"
"Laycan: 15/25 MAY 2017","Laycan date"
"LOAD RATE 7.000 MT PWWD SSHEX EIU","Ld rate"
"DISCH RATE 5.000 MT PWWD SHINC SAI, 3500 MT PWWD SHINC ARICA and PTO MONT","Ld rate"
"*NOR ATDNSHINC","Ld rate"
"*NOR ATDNSHINC","Ld rate"
"*NOR ATDNSHINC","Ld rate"
"L/C 15 / 24 APRIL","Laycan date"
"8/12 April","Laycan date"
"20-24/APRIL, 2017","Laycan date"
"Laycan 10-15 April 2017","Laycan date"
"10'000 SHINC","Ld rate"
"Discharge Port Xingang, China",Ports
"Laycan 10-15 April 2017 (Durban Bulk Connections)","Laycan date"
"Laycan 10-15 April 2017, OWNERS AND CHRTS AGREE THAT LAYCAN MAY BE ","Laycan date"
"LOADING : 1SB 1SP ROSTOCK","Ld rate"
20/jun,"Laycan date"
15/jun,"Laycan date"
"Laycan 10-15 April 2017","Laycan date"
"Load Rate 10'000 SHINC","Ld rate"
"Discharge Port Xingang, China",Ports
"Laycan 10-15 April 2017 (Durban Bulk Connections)","Laycan date"
"Laycan 10-15 April 2017, OWNERS AND CHRTS AGREE THAT LAYCAN MAY BE ","Laycan date"
"*NOR ATDNSHINC","Ld rate"
"*NOR ATDNSHINC","Ld rate"
"*NOR ATDNSHINC","Ld rate"
"DISRATE: 3,000 SHINC","Ld rate"
"DISRATE 3000 SHINC","Ld rate"
"- LOADING RATE: CQD WWD/SHINC","Ld rate"
"- LOAD RATE: CQD WWD/SHINC","Ld rate"
"Laycan: 15/25 MAY 2017","Laycan date"
"LOAD RATE 7.000 MT PWWD SSHEX EIU","Ld rate"
"DISCH RATE 5.000 MT PWWD SHINC SAI, 3500 MT PWWD SHINC ARICA and PTO MONT","Ld rate"
"Discharge Ports:  Setubal (Portugal), Alstom quay",Ports
"20,000 shinc / 14,000 shinc","Ld rate"
"DISRATE: 3,000 SHINC","Ld rate"
"DISRATE: 3,000 SHINC","Ld rate"
"DISRATE 3000 SHINC","Ld rate"
"Condition: FO CQD SSHEX","Ld rate"
"DISRATE: 3,000 SHINC","Ld rate"
"DISRATE: 3,000 SHINC","Ld rate"
"DISRATE 3000 SHINC","Ld rate"
"L/CAN 10-15 MAY 17","Laycan date"
"Loading Port: Constanta SOCEP, Romania",Ports
"Discharge Port: SONGKHLA, Thailand",Ports
"LAYCAN: APRIL 2017","Laycan date"
"- NOR Shinc bends","Ld rate"
"Quantity: 55,000MT/10% owners option",Quantity
"Cargo: Thermal Coal",Description
"Loading rate: 25,000 mt pwwd shinc","Ld rate"
"Discharge rate: 7,000 mt pwwd shinc","Ld rate"
"Laycan: 19-27 April, 2017","Laycan date"
15/22apr,"Laycan date"
5/10may,"Laycan date"
"LAYCAN  25-30 APRIL 2017.","Laycan date"
"LOADING RATE          :  5000 TONS PWWD","Ld rate"
"DISCHARGE RATE      : 5000  TONS PWWD","Ld rate"
2/9may,"Laycan date"
"17/26 APR","Laycan date"
"SCALE / 25,000 SHINC  ","Ld rate"
"14/18 April","Laycan date"
"LAYCAN: APRIL 2017","Laycan date"
"14/18 April","Laycan date"
"Quantity: Min 25.000 - Max 30.000 MT in Charterers option",Quantity
"Laycan:                 26Apr - 2 May","Laycan date"
"Laycan - 9/5 - 16/5","Laycan date"
"Discharge Port(s)",Ports
"Commission - 2.5% Adcom + 1,25% Thurlestone",Commision
2/9may,"Laycan date"
"17/26 APR","Laycan date"
"SCALE / 25,000 SHINC  ","Ld rate"
"ANY APRIL","Laycan date"
"25,000 SHINC / 13,000 SHINC","Ld rate"
"14/18 April=0A=","Laycan date"
"1/10  may=0A=","Laycan date"
"Loading Port: Constanta SOCEP, Romania",Ports
"Discharge Port: SONGKHLA, Thailand",Ports
"10/12 APRIL","Laycan date"
"12,000 SHINC / 6,000 SSHEX","Ld rate"
"20-26 May","Laycan date"
"LAYCAN: APRIL 2017","Laycan date"
"DISCHARGE PORT:                           BUENAVENTURA - COLOMBIA",Ports
"DISCHARGE RATE:                           CQD WWD BASIS","Ld rate"
"L/DAYS:                                          JUNHO/ 2017","Laycan date"
"Loading Port: Constanza, SOCEP terminal (Romania)",Ports
"Discharge Port: Houston, TX (USA)",Ports
"Loading Port:                  Veracruz (Mexico)",Ports
"Discharge Ports:             Houston (USA)",Ports
"-COMMISSION OF 1.25% TO THULESTONE ON F/D/D",Commision
5/10may,"Laycan date"
"April 20/30","Laycan date"
"Loading Port:   Please offer 2 conditions:=0A=",Ports
"Laycan:   5 days range to be mutually agreed 30 days before the 1st day of =","Laycan date"
"14/18 April=0A=","Laycan date"
"    14/18 April=0A=","Laycan date"
"Loading rate:    15,000 mt pwwd ssinc hex.","Ld rate"
"Laycan - 9/5 - 16/5","Laycan date"
"Discharge Port(s)",Ports
"Commission - 2.5% Adcom + 1,25% Thurlestone",Commision
"15,000 shinc / 4,500 shinc","Ld rate"
"8-17 May, 2017","Laycan date"
"10,000fhex / 7,000shinc","Ld rate"
"April 24-26, 2017","Laycan date"
"May - June TBA","Laycan date"
"15,000 shinc / 4,500 shinc","Ld rate"
"May 6-15, 2017","Laycan date"
"lc 25/30 april","Laycan date"
"Discharge Ports:              Cartagena (Colombia)",Ports
Laycan:,"Laycan date"
"24-30 April 2017","Laycan date"
May,"Laycan date"
"Discharge Rate:  16,000 SHINC bs 4 available holds / 4 available hatches / =","Ld rate"
"Laycan:         24-30 April 2017=0A=","Laycan date"
"LAYCAN: 20 - 28 APRIL 17","Laycan date"
"Cargo: Phosphate Rock",Description
"Laydays: Jul/Aug","Laycan date"
"Cargo: Phosphate Rock",Description
"Laydays: Jul/Aug","Laycan date"
"Discharge Rate","Ld rate"
"03 - 07/MAY/2017","Laycan date"
"20-25 April","Laycan date"
"Discharge Rate","Ld rate"
"03 - 07/MAY/2017","Laycan date"
"21/27 apr","Laycan date"
"LAYCAN: 27 APR/1 MAY 2017","Laycan date"
"21/27 apr","Laycan date"
"1/10 may","Laycan date"
"LAYCAN  25-30 APRIL 2017.","Laycan date"
"LOADING RATE          :  5000 TONS PWWD","Ld rate"
"DISCHARGE RATE      : 5000  TONS PWWD","Ld rate"
"15/24 APR","Laycan date"
"LAYCAN: 27 APR/1 MAY 2017","Laycan date"
QUANTITY:=0A=,Quantity
LAYCAN:=0A=,"Laycan date"
"LAYCAN FROM =3D 20/04/17 TO 10/05/17 (TO BE NARROWED TO 7 DAYS BEFORE FIXIN=","Laycan date"
"LOADING PORT AND CONDITIONS=0A=",Ports
"DISCHARGE PORT AND CONDITION=0A=",Ports
"- LOAD RATE: CQD WWD/SHINC","Ld rate"
"- NOR Shinc bends","Ld rate"
"Discharge Port:",Ports
15/20apr,"Laycan date"
26apr/4may,"Laycan date"
"15/30 APR","Laycan date"
"21/30 APR","Laycan date"
"20 APR / 5 MAY","Laycan date"
"4,000 SHEX / 15,000 SHINC","Ld rate"
"15/30 APR","Laycan date"
"8,000 SHINC / 25,000 SHINC","Ld rate"
LAYCAN:,"Laycan date"
"LAYCAN SFS: 25 ~ 30 APRIL, 2017","Laycan date"
"DISCHARGE PORTS:",Ports
"- NOR Shinc bends","Ld rate"
"Discharge Port:",Ports
"Laycan - 19/4 - 30/4","Laycan date"
"Discharge Port -  Zhenjiang (Bengbu berth)",Ports
"Commission - 2.5% adcom + 1,25% Thurlestone",Commision
"- LAYCAN: 5-10 MAY","Laycan date"
"Laycan - 19/4 - 30/4","Laycan date"
"Discharge Port -  Zhenjiang (Bengbu berth)",Ports
"Commission - 2.5% adcom + 1,25% Thurlestone",Commision
"laycan 4-8 May 2017","Laycan date"
"18000 shinc / cqd","Ld rate"
"END JUNE/BEG JULY","Laycan date"
"10.000 SHINC LOAD","Ld rate"
"End June / beg July","Laycan date"
"10,000 shinc / 12,000 shinc","Ld rate"
"Laycan: 7-11 May","Laycan date"
"20-26 May","Laycan date"
Laycan,"Laycan date"
"Loading Port",Ports
"Discharge Port",Ports
"Loading port:  Tanjung Pemancingan",Ports
"Discharge port : Koh si chang, Thailand",Ports
"Discharge rate :15,000  Mt/day (PWWDSHINC excluded major holiday)","Ld rate"
"LAYCAN : 9/13 May 2017","Laycan date"
"L/rate 8k pwwd shinc","Ld rate"
"12k pwwd shinc as d/c rate","Ld rate"
"Nor : atdn shinc","Ld rate"
"L/C 25-30 APRIL","Laycan date"
"Laycan:                               1 - 15 July 2017","Laycan date"
"Discharge Rate :                7,500mt PWWD SATPMSHEXEIU","Ld rate"
"DISRATE 3000 SHINC","Ld rate"
"L/CAN 05-15 MAY 17","Laycan date"
"Loading Port:  Porto Marghera, Italy",Ports
"Discharge Port: Dammam port , Saudi Arabia.",Ports
"Quantity: Min 25.000 - Max 30.000 MT in Charterers option",Quantity
"- LOAD RATE: CQD WWD/SHINC","Ld rate"
Laycan:,"Laycan date"
"8-17 May 2017","Laycan date"
"LAYCAN: 2ND HALF MAY","Laycan date"
"LOAD RATE 7.000 MT PWWD SATPMSHEX EIU","Ld rate"
"DISCH RATE 5.000 MT PWWD SHINC","Ld rate"
"Laycan: 15/25 MAY 2017","Laycan date"
"LOAD RATE 7.000 MT PWWD SSHEX EIU","Ld rate"
"DISCH RATE 5.000 MT PWWD SHINC SAI, 3500 MT PWWD SHINC ARICA and PTO MONT","Ld rate"
LAYCAN,"Laycan date"
"DISCHARGE PORT(S)",Ports
"Loading Port and Loading rate",Ports
"Discharging Port and Discharging rate",Ports
"Laycan: shipment from April 28, 2017","Laycan date"
"Loading Port and Loading rate",Ports
"Discharging Port and Discharging rate",Ports
"Laycan: shipment from April 28, 2017","Laycan date"
"20 APR / 5 MAY","Laycan date"
"4,000 SHEX / 15,000 SHINC","Ld rate"
"L/CAN 05-10 MAY 17","Laycan date"
"DISRATE 3000 SHINC","Ld rate"
"L/CAN 05-15 MAY 17","Laycan date"
"DISRATE: 3,000 SHINC","Ld rate"
"L/CAN 15-25 MAY 17","Laycan date"
"L/CAN 05-10 MAY 17","Laycan date"
"DISRATE 3000 SHINC","Ld rate"
"L/CAN 05-15 MAY 17","Laycan date"
"Loading Port and Loading rate",Ports
"Discharging Port and Discharging rate",Ports
"Laycan: shipment from April 28, 2017","Laycan date"
"Laycan May 02-05th","Laycan date"
"Loading Port:    Rio de Janeiro, Brasil",Ports
"Discharge Ports:   Takoradi, Ghana",Ports
"Laycan: 15/25 MAY 2017","Laycan date"
"LOAD RATE 7.000 MT PWWD SSHEX EIU","Ld rate"
"DISCH RATE 5.000 MT PWWD SHINC SAI, 3500 MT PWWD SHINC ARICA and PTO MONT","Ld rate"
"LAYCAN: 2ND HALF MAY","Laycan date"
"LOAD RATE 7.000 MT PWWD SATPMSHEX EIU","Ld rate"
"DISCH RATE 5.000 MT PWWD SHINC","Ld rate"
Laycan:,"Laycan date"
"8-17 May 2017","Laycan date"
"Laycan: 15/25 MAY 2017","Laycan date"
"LOAD RATE 7.000 MT PWWD SSHEX EIU","Ld rate"
"DISCH RATE 5.000 MT PWWD SHINC SAI, 3500 MT PWWD SHINC ARICA, PTO MONT AND COQUIMBO","Ld rate"
"L/C 25-30 APRIL","Laycan date"
"19 Apr 2017","Laycan date"
"19 Apr 2017","Laycan date"
"19 Apr 2017","Laycan date"
"20 Apr 2017","Laycan date"
"20 Apr 2017","Laycan date"
"19 Apr 2017","Laycan date"
"19 Apr 2017","Laycan date"
"Loading Port:    Marina di Carrara , Italy.",Ports
"Discharge Port:  Sault Saint Mary , Canada.",Ports
"Loading Port: Constanta SOCEP, Romania",Ports
"Discharge Port: SONGKHLA, Thailand",Ports
"Quantity - 5,000 MT +/-10% MOLOO",Quantity
"Laycan - May 2017","Laycan date"
"Load Rate - 2,000 MT PWWD SHINCÂ ","Ld rate"
"Discharge Port - Port Hedland, Australia",Ports
"Discharge Rate - 2,000 MT PWWD SHINCÂ ","Ld rate"
"Commission - 3.5% Total",Commision
LAYCAN,"Laycan date"
"DISCHARGE PORT(S)",Ports
"QUANTITY: MIN 41000/ MAX 44000 MT IN OO",Quantity
"DISCHARGE RATE 7000 MTS PDPR","Ld rate"
"May 1-15","Laycan date"
"Laycan: 01-07/May","Laycan date"
"Loading Port:    Marina di Carrara , Italy.",Ports
"Discharge Port:  Sault Saint Mary , Canada.",Ports
"15,000 shinc / 24hrs sshex","Ld rate"
24/27apr,"Laycan date"
28apr/3may,"Laycan date"
"QUANTITY: MIN 41000/ MAX 44000 MT IN OO",Quantity
"DISCHARGE RATE 7000 MTS PDPR","Ld rate"
"Load: Duqm, Oman 6,000 Shinc","Ld rate"
"26th April onwards","Laycan date"
28apr/3may,"Laycan date"
"4,000 SHEX / 15,000 SHINC","Ld rate"
"5/9 MAY","Laycan date"
"L/CAN 05-10 MAY 17","Laycan date"
"Laycan: May 2017","Laycan date"
"LAYCAN: 2ND HALF MAY","Laycan date"
"LOAD RATE 7.000 MT PWWD SATPMSHEX EIU","Ld rate"
"DISCH RATE 5.000 MT PWWD SHINC","Ld rate"
"End july/beg august","Laycan date"
"-25-30/APR, 2017","Laycan date"
"- 8000/8000 sshex eiu","Ld rate"
"LAYCAN: 6/8 MAY 2017","Laycan date"
"LAYCAN: 6/8 MAY 2017","Laycan date"
"Laycan 14-17 May 2017","Laycan date"
"Load Rate 12'000 SHINC","Ld rate"
"Discharge Port Xingang, China",Ports
"Discharge Rate   :              8,000 MT / WWDSHINC","Ld rate"
"Discharge Rate   :              10,000 MT / WWDSHINC","Ld rate"
"NORT ATDNSHINC BENDS","Ld rate"
"Laycan 14-17 May 2017","Laycan date"
"Load Rate 12'000 SHINC","Ld rate"
"Discharge Port Xingang, China",Ports
"- 8000/8000 sshex eiu","Ld rate"
"-COMM: total 1.25% <br>",Commision
"-COMM: total&nbsp;2.50% <br>",Commision
"-COMM: 2.5% </font></div>",Commision
"-COMM: total&nbsp;2.50% <br>",Commision
"7/13 MAY","Laycan date"
"Laycan:                               1 - 31 August 2017","Laycan date"
"Discharge Rate :                5,000MT PWWD SHEXEIU","Ld rate"
"Laycan is 20 to 30th May '17","Laycan date"
"5-8 may","Laycan date"
"3.75% iac",Commision
"2.5% TTL COMM HERE",Commision
"7/16 May ","Laycan date"
"29 APRIL ONW ","Laycan date"
"01/05 MAY","Laycan date"
"MID MAY ONWARDS","Laycan date"
"Laycan 16-18 May","Laycan date"
"36/36 hrs sshex eiu","Ld rate"
"5.0% iac",Commision
"3/5 May","Laycan date"
"3.75% iac",Commision
"2.5% TTL COMM HERE",Commision
"15/20 May","Laycan date"
"5.0% iac",Commision
"3/5 May","Laycan date"
"3.75% iac",Commision
"3/5 May","Laycan date"
"3.75% iac",Commision
"2.5% TTL COMM HERE",Commision
"5-8 may","Laycan date"
"3.75% iac",Commision
"2.5% TTL COMM HERE",Commision
"15/20 May","Laycan date"
"5.0% iac",Commision
"L/D 1000/1000","Laycan date"
"L/C 6-8 MAY","Laycan date"
"3.75% IAC",Commision
"1500 // 2000(1750) sshex eiu","Ld rate"
"lc 08-10 May 2017","Laycan date"
"4,000c/96hrs sshinc","Ld rate"
"1-10 June","Laycan date"
"1/7 June","Laycan date"
"2,500 / 2,500 shinc","Ld rate"
"laycan 1/5 may","Laycan date"
"loading immy upon finishing discharging of scrap","Ld rate"
"5/10  May","Laycan date"
"10/19 May","Laycan date"
"L/D 1000/1000","Laycan date"
"L/C 6-8 MAY","Laycan date"
"3.75% IAC",Commision
"lc 08-10 May 2017","Laycan date"
"- MAY 20 ON","Laycan date"
"MAY 20 ON","Laycan date"
"Loading Port: Marina Di Carrara , Italy.",Ports
"Discharge Port: Houston (USA)",Ports
"- NOR Shinc bends","Ld rate"
"12-16 May","Laycan date"
"LAYCAN: 10/14 MAY 2017","Laycan date"
"4 MAY ","Laycan date"
"l/c 7/10 may","Laycan date"
"Laycan is 20 to 30th May '17","Laycan date"
"-COMM:2.5% PUS",Commision
"Beg june","Laycan date"
"l/d Oxl 7000 (sat 16 sx uu) , Paldiski 5500 sc / 6000 sc","Laycan date"
"L/c  10/20 May","Laycan date"
"8000MT SHINC / CQD DISCHARGE","Ld rate"
"LAYCAN 12/15 MAY - SLOT 15 MAY","Laycan date"
"4 MAY ","Laycan date"
"4ttd sshex eiu","Ld rate"
"1/7 may","Laycan date"
"L/D 6000 / 20 000","Laycan date"
"l/c 8/11 May","Laycan date"
"l/c 13/17 May 2017","Laycan date"
"L/C END OF MAY","Laycan date"
"L/D 1500 / 1200 SSHEX EIU BENDS","Laycan date"
"LOADING:      1-2 SB(S) MERSIN","Ld rate"
"LOAD RATE:    1.500 MTS PWWD","Ld rate"
"DISCH RATE:   800 MTS PWWD FOR SYRIA - 1.000 MTS PWWD FOR BEIRUT","Ld rate"
"LOADING:      1-2 SB(S) MERSIN","Ld rate"
"LOAD RATE:    1.500 MTS PWWD","Ld rate"
"DISCH RATE:   800 MTS PWWD FOR SYRIA - 1.000 MTS PWWD FOR BEIRUT","Ld rate"
"Discharge Port: Mayun, Perim Island, Yemen ( to be discharged on barges at anchorage)",Ports
"Load Rate: 8000 MT PDPR","Ld rate"
"Discharge Rate: 5000 MT PDPR","Ld rate"
"Laycan : Prompt (try vsl dates)","Laycan date"
"3.75% IAC",Commision
"10 may onw","Laycan date"
"5.0% iac",Commision
"LAYCAN 22-30 MAY 2017","Laycan date"
"GCN 5.0% IAC",Commision
"4ttd sshex eiu","Ld rate"
"1/7 may","Laycan date"
"L/D 6000 / 20 000","Laycan date"
"l/d rate CQD ","Ld rate"
"June 10 onw","Laycan date"
"June 10 onw","Laycan date"
"LAYCAN 22-30 MAY 2017","Laycan date"
"GCN 5.0% IAC",Commision
"Quantity: 25,000 MTS Min/Max",Quantity
"Load rate: 7000 MTS PWWD SHINC","Ld rate"
